objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc
43704,nicaa head start - e. dubuque,100 n school rd,east dubuque,il,61025,20,jo daviess,17085,42.498018,-90.639784,"head start programs, separate from schools"
43705,east dubuque child care center,701 il route 35 n,east dubuque,il,61025,80,jo daviess,17085,42.497621,-90.632914,child day care centers
43706,elgin child and family resource center,210 national street,elgin,il,60120,222,kane,17089,42.03104,-88.27561,child day care centers
43707,two rivers head start program,69 n aldine ave,elgin,il,60123,57,kane,17089,42.03667,-88.30725,"head start programs, separate from schools"
43708,cadence academy preschool,40w170 lafox rd,saint charles,il,60175,89,kane,17089,41.936971,-88.398141,child day care centers
43709,marie wilkinson child development center,1144 east galena boulevard,aurora,il,60505,39,kane,17089,41.75147,-88.2866,child day care centers
43710,penny lane school ltd,4527 southwest hwy,oak lawn,il,60453,201,cook,17031,41.72575,-87.7347,child day care centers
43711,agape orthodox christian preschool,1401 wagner rd,glenview,il,60025,63,cook,17031,42.07986,-87.78088,child day care centers
43712,a - karrasel infant and toddlr inc,7801 w grand ave,elmwood park,il,60707,72,cook,17031,41.92628,-87.82104,child day care centers
43713,teen baby nursery,2010 dewey avenue,evanston,il,60201,23,cook,17031,42.05458,-87.69614,child day care centers
43714,children's land at wheeling learning cnt,850 mchenry rd,wheeling,il,60090,261,cook,17031,42.14843,-87.94901,child day care centers
43715,"little red riding hood des plaines, inc",1371 prospect ave,des plaines,il,60018,58,cook,17031,42.01853,-87.89003,child day care centers
43716,cradle to the classroom childcare inc,35 s 19th ave,maywood,il,60153,70,cook,17031,41.88899,-87.85636,child day care centers
43717,"the gingerbread house c.c. center, inc.",3138 chicago rd,steger,il,60475,154,cook,17031,41.47393,-87.63664,child day care centers
43718,i.a.f.c. - chicago heights,202 s halsted st,chicago hts,il,60411,100,cook,17031,41.52782,-87.635801,child day care centers
43719,i.a.f.c. - harvey - south holland elc,16515 s park ave,south holland,il,60473,100,cook,17031,41.59519,-87.60555,child day care centers
43720,the little blue bear,675 e algonquin rd,des plaines,il,60016,66,cook,17031,42.030728,-87.907333,child day care centers
43721,sandbox of palos heights,12832 s ridgeland ave,palos heights,il,60463,121,cook,17031,41.65789,-87.77756,child day care centers
43722,kove learning academy - gads hill center,3137 w 71st st,chicago,il,60629,52,cook,17031,41.76415,-87.70188,child day care centers
43723,montessori academy of north hoffman,3805 huntington blvd,hoffman est,il,60192,38,cook,17031,42.09236,-88.1217,child day care centers
43724,kiddy garden child care center corp.,2203 - 2209 schaumburg road,schaumburg,il,60194,68,cook,17031,42.0244,-88.13496,child day care centers
43725,british infant school,8201 north karlov avenue,skokie,il,60076,20,cook,17031,42.029972,-87.730437,child day care centers
43726,parkview christian preschool,11100 orland pkwy,orland park,il,60467,171,cook,17031,41.55723,-87.8802,child day care centers
43727,kiddie junction educational institute,1619 e oakton st,desplaines,il,60018,136,cook,17031,42.02421,-87.88392,child day care centers
43728,kindercare learning center 070457,1320 n arlington heights rd,arlington hts,il,60004,126,cook,17031,42.10075,-87.98044,child day care centers
43729,tiny tot preschool and kindergarten,4346 howard st,skokie,il,60076,68,cook,17031,42.01934,-87.73759,child day care centers
43730,building block preschool,324 w mckinley ave,hinckley,il,60520,20,dekalb,17037,41.7705,-88.64385,child day care centers
43731,kiddie academy of carpentersville,112 tay river dr,carpentersvle,il,60110,141,kane,17089,42.10893,-88.29951,child day care centers
43732,kensington school of st charles,1900 cumberland parkway,saint charles,il,60174,198,kane,17089,41.90195,-88.27766,child day care centers
43733,kinder care learning centers 000235,2485 south st,elgin,il,60123,118,kane,17089,42.02397,-88.3409,child day care centers
43734,aurora early learning center,525 college ave,aurora,il,60505,209,kane,17089,41.75776,-88.30305,child day care centers
43735,good shepherd lutheran preschool,195 nesler rd,elgin,il,60124,89,kane,17089,42.03742,-88.365251,child day care centers
43736,"tle at elgin, llc",1023 n randall rd,elgin,il,60123,56,kane,17089,42.0548166,-88.3377536,child day care centers
43737,rachel's learning center ltd,716 n elmwood dr,aurora,il,60506,52,kane,17089,41.77096,-88.33929,child day care centers
43738,little people playtime,441 e jefferson ave,hampshire,il,60140,97,kane,17089,42.09747,-88.52004,child day care centers
43739,bethlehem preschool center,1145 n 5th ave,saint charles,il,60174,100,kane,17089,41.92661,-88.3099,child day care centers
43740,children of america educational childcar,1125 oak st,north aurora,il,60542,163,kane,17089,41.80811,-88.35274,child day care centers
43741,the goddard school,200 n tyler rd,st charles,il,60174,105,kane,17089,41.91982,-88.29207,child day care centers
