state_name,state_code,county_name,county_code,tract_name,tract_code,tot_pop,pop_under5,homeowner_rate,less_than_hs_rate,higher_education_rate,below_poverty_rate,income_cat,majority_white,majority_black,majority_asian,majority_hispanic
 Illinois,17, Clay County,025,Census Tract 9719,971900,2353,131,0.8719,0.1093,0.1451,0.1428,medium,1,0,0,0
 Illinois,17, Clay County,025,Census Tract 9720,972000,2862,267,0.7413,0.1545,0.1016,0.2184,low,1,0,0,0
 Illinois,17, Clay County,025,Census Tract 9721,972100,4961,95,0.7002,0.1178,0.1652,0.1357,low,1,0,0,0
 Illinois,17, Clay County,025,Census Tract 9722,972200,3072,234,0.8435,0.0902,0.1779,0.1348,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9001,900100,6484,349,0.7864,0.0362,0.3245,0.064,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9002,900200,1826,74,0.918,0.0646,0.1954,0.0197,high,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9003,900300,7031,594,0.7952,0.0717,0.2281,0.0395,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9004.01,900401,1137,25,0.9023,0.0311,0.1698,0.0677,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9004.03,900403,3958,182,0.7133,0.0367,0.244,0.069,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9004.04,900404,1190,76,0.9646,0.0488,0.1739,0.0798,low,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9005,900500,5758,268,0.7828,0.2016,0.1317,0.1191,low,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9006.01,900601,2767,149,0.9175,0.0563,0.2656,0.0553,medium,1,0,0,0
 Illinois,17, Clinton County,027,Census Tract 9006.02,900602,6847,338,0.7268,0.0731,0.2742,0.0757,high,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 1,000100,2567,62,0.7993,0.0771,0.1738,0.1254,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 2,000200,5505,435,0.8533,0.0788,0.3446,0.0957,medium,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 3,000300,4454,277,0.7661,0.0527,0.2353,0.1942,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 4,000400,2638,111,0.3712,0.2067,0.1042,0.2259,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 5,000500,5649,281,0.625,0.1317,0.1939,0.2669,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 6,000600,2984,140,0.8673,0.0786,0.3043,0.0979,medium,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 7.01,000701,2429,28,0.5542,0.0416,0.5016,0.1486,medium,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 7.02,000702,3257,173,0.1862,0.0181,0.2655,0.3795,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 8,000800,3591,34,0.1672,0.0914,0.3276,0.147,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 9,000900,3959,193,0.7043,0.0314,0.4778,0.0955,high,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 10,001000,3297,192,0.5462,0.0871,0.2438,0.1814,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 11,001100,3688,162,0.3933,0.0696,0.1527,0.2514,low,1,0,0,0
 Illinois,17, Coles County,029,Census Tract 12,001200,3058,170,0.6881,0.0858,0.195,0.1069,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 101,010100,4284,224,0.3432,0.1134,0.5294,0.1902,medium,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 102.01,010201,8210,893,0.2731,0.1818,0.3391,0.3357,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 102.02,010202,2865,173,0.2371,0.1328,0.4624,0.2126,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 103,010300,6237,263,0.3669,0.0997,0.5173,0.0552,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 104,010400,4473,68,0.2867,0.006,0.6037,0.127,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 105.01,010501,3913,156,0.1572,0.0032,0.6531,0.1078,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 105.02,010502,3407,148,0.2573,0.0311,0.6699,0.2612,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 105.03,010503,2417,52,0.1452,0.1508,0.3906,0.5192,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 106,010600,6379,183,0.3799,0.055,0.6613,0.1433,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 107.01,010701,3590,247,0.5265,0.1505,0.4755,0.0752,medium,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 107.02,010702,5148,535,0.2125,0.2379,0.38,0.1968,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 201,020100,3927,242,0.3454,0.1281,0.3623,0.1872,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 202,020200,7203,745,0.7722,0.1584,0.5229,0.0694,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 203.01,020301,5432,583,0.7056,0.0482,0.5434,0.1123,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 203.02,020302,5201,243,0.6285,0.0449,0.5221,0.0573,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 204,020400,4256,239,0.4655,0.1311,0.5151,0.1414,medium,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 205,020500,6646,597,0.2738,0.1965,0.2654,0.3023,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 206.01,020601,5868,309,0.5394,0.1827,0.4931,0.2461,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 206.02,020602,5343,448,0.5337,0.1477,0.5508,0.1224,medium,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 207.01,020701,1728,92,0.6976,0.1005,0.6188,0.0845,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 207.02,020702,8412,569,0.4056,0.2302,0.2942,0.1979,medium,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 208.01,020801,5990,299,0.4529,0.1305,0.3192,0.1257,medium,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 208.02,020802,8715,762,0.3458,0.2723,0.3401,0.1845,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 209.01,020901,6179,261,0.3655,0.2197,0.3398,0.2083,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 209.02,020902,4365,250,0.4283,0.1461,0.3034,0.2195,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 301.01,030101,3517,154,0.3229,0.0659,0.4044,0.205,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 301.02,030102,3052,12,0.4308,0.1535,0.5338,0.2611,low,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 301.03,030103,2297,0,0.2893,0.0877,0.5685,0.1545,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 301.04,030104,3106,37,0.3915,0.0733,0.5716,0.1545,low,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 302,030200,5554,290,0.48,0.0556,0.6713,0.1212,high,1,0,0,0
 Illinois,17, Cook County,031,Census Tract 303,030300,3642,244,0.3342,0.1102,0.4215,0.1524,medium,0,0,0,0
 Illinois,17, Cook County,031,Census Tract 304,030400,2822,137,0.3396,0.0275,0.5611,0.1297,high,1,0,0,0
