DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 208.01; Cook County; Illinois,162,137,5990,2701,770,877,1933,753,71953,2175,985,4781,4329,565,1382,17,031,020801
Census Tract 208.02; Cook County; Illinois,433,329,8715,3014,582,2810,2216,1608,62212,2131,737,8077,4957,1350,1686,17,031,020802
Census Tract 209.01; Cook County; Illinois,138,123,6179,1976,1489,1385,1586,1287,50243,2197,803,5419,4005,880,1361,17,031,020901
Census Tract 209.02; Cook County; Illinois,100,150,4365,1647,861,1455,642,958,49432,1597,684,3764,3190,466,968,17,031,020902
Census Tract 301.01; Cook County; Illinois,135,19,3517,1407,910,761,354,721,50696,2047,661,2887,2866,189,1159,17,031,030101
Census Tract 301.02; Cook County; Illinois,12,0,3052,1237,461,1093,368,797,55067,1878,809,2491,2456,377,1311,17,031,030102
Census Tract 301.03; Cook County; Illinois,0,0,2297,1207,326,294,449,355,53684,1030,298,1632,1300,114,739,17,031,030103
Census Tract 301.04; Cook County; Illinois,10,27,3106,1973,266,502,465,480,45865,991,388,1747,1174,86,671,17,031,030104
Census Tract 302; Cook County; Illinois,91,199,5554,3780,90,361,1284,673,91406,2575,1236,4796,4226,235,2837,17,031,030200
Census Tract 303; Cook County; Illinois,134,110,3642,1231,745,586,1058,555,64662,1490,498,3109,2560,282,1079,17,031,030300
Census Tract 304; Cook County; Illinois,65,72,2822,1955,165,231,710,366,97143,1278,434,2439,2178,60,1222,17,031,030400
Census Tract 305; Cook County; Illinois,113,263,6344,4329,420,190,1290,292,109375,2983,1514,5290,5211,332,3629,17,031,030500
Census Tract 306.01; Cook County; Illinois,178,94,3771,1599,949,805,241,671,51808,1883,503,2995,2816,343,1315,17,031,030601
Census Tract 306.03; Cook County; Illinois,43,78,2305,1283,551,338,276,360,54300,1360,170,1755,1758,123,901,17,031,030603
Census Tract 306.04; Cook County; Illinois,0,12,2921,1653,514,371,251,538,49816,2109,586,2450,2557,146,1720,17,031,030604
Census Tract 307.01; Cook County; Illinois,54,50,1509,757,544,128,184,355,47614,877,150,1204,1206,64,564,17,031,030701
Census Tract 307.02; Cook County; Illinois,6,27,2266,1344,90,629,292,390,69050,1514,907,1976,2018,71,1345,17,031,030702
Census Tract 307.03; Cook County; Illinois,38,7,3093,1801,506,271,546,777,56667,1914,491,2446,2611,204,1553,17,031,030703
Census Tract 307.06; Cook County; Illinois,36,0,2588,1645,370,425,106,144,54143,1882,733,2117,2397,150,1488,17,031,030706
Census Tract 308; Cook County; Illinois,94,134,4236,3344,190,227,440,431,96069,2167,856,3481,3391,99,2588,17,031,030800
Census Tract 309; Cook County; Illinois,62,50,3076,2375,152,249,381,180,102309,1481,690,2197,2574,124,1935,17,031,030900
Census Tract 310; Cook County; Illinois,132,68,3652,2795,31,343,606,231,121026,1984,935,2881,3008,47,2397,17,031,031000
Census Tract 311; Cook County; Illinois,146,56,4898,3526,614,274,358,743,79010,2861,535,3919,4030,107,2617,17,031,031100
Census Tract 312; Cook County; Illinois,106,124,5936,1999,2321,703,1368,2035,24389,3457,585,5036,4664,1148,1715,17,031,031200
Census Tract 313; Cook County; Illinois,151,11,6853,4209,999,897,909,1075,64598,4502,1618,5862,6286,593,2959,17,031,031300
Census Tract 314; Cook County; Illinois,41,34,4685,3658,220,490,347,223,82526,3087,1502,3629,4093,89,3032,17,031,031400
Census Tract 315.01; Cook County; Illinois,29,287,4640,1767,1684,700,548,2133,48889,1996,387,3430,3133,521,1465,17,031,031501
Census Tract 315.02; Cook County; Illinois,128,169,4622,1962,1617,242,773,1291,47188,2445,309,3720,3276,462,1744,17,031,031502
Census Tract 317; Cook County; Illinois,240,71,6119,4395,929,348,608,841,84766,3107,1273,4850,5009,240,3649,17,031,031700
Census Tract 318; Cook County; Illinois,31,70,2114,1282,97,248,386,262,80873,1041,414,1381,1568,27,1147,17,031,031800
Census Tract 319; Cook County; Illinois,17,67,2417,1820,233,66,232,43,93864,1338,480,1924,1926,96,1475,17,031,031900
Census Tract 321; Cook County; Illinois,59,114,7279,4619,932,920,1388,1203,69313,4207,1039,5634,6110,625,3383,17,031,032100
Census Tract 401; Cook County; Illinois,142,143,4011,2873,381,122,734,285,93576,1875,901,3333,2921,156,2017,17,031,040100
Census Tract 402.01; Cook County; Illinois,213,59,6688,5169,112,544,1023,269,99624,3012,1312,5568,5213,216,3448,17,031,040201
Census Tract 402.02; Cook County; Illinois,224,485,7965,3385,336,1578,2760,1523,58293,2908,992,6805,5391,880,2403,17,031,040202
Census Tract 403; Cook County; Illinois,141,42,3063,1485,139,792,752,406,86979,1149,685,2787,2187,217,1171,17,031,040300
Census Tract 404.01; Cook County; Illinois,148,113,3431,2419,97,299,794,153,107083,1469,868,2765,2671,240,1713,17,031,040401
