DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 8711.11; McHenry County; Illinois,145,92,5052,4089,59,480,698,37,152000,1634,1634,4935,3168,34,1879,17,111,871111
Census Tract 8711.12; McHenry County; Illinois,135,90,5595,4750,60,231,595,153,166029,1818,1707,5282,3521,133,1684,17,111,871112
Census Tract 8711.13; McHenry County; Illinois,76,77,3761,3182,11,459,210,183,143452,1108,1090,3675,2344,17,1280,17,111,871113
Census Tract 8711.14; McHenry County; Illinois,82,66,3644,3250,264,24,581,166,135625,1158,1133,3394,2219,86,869,17,111,871114
Census Tract 8711.15; McHenry County; Illinois,79,78,3711,3073,179,223,586,454,90487,1384,881,2881,2633,226,815,17,111,871115
Census Tract 8712.01; McHenry County; Illinois,173,283,7196,6347,19,48,569,201,102927,2694,2456,6816,4832,150,1830,17,111,871201
Census Tract 8712.02; McHenry County; Illinois,30,92,5491,4975,0,174,1469,757,68462,2014,1329,5143,3698,260,901,17,111,871202
Census Tract 8712.05; McHenry County; Illinois,120,111,4413,3359,196,17,1013,98,85788,1586,1411,4007,2805,98,548,17,111,871205
Census Tract 8712.06; McHenry County; Illinois,290,255,6960,6112,58,416,519,315,129416,2614,2114,6227,5061,434,1952,17,111,871206
Census Tract 8712.07; McHenry County; Illinois,111,171,4469,3187,412,344,619,285,97793,1707,1334,4049,2992,198,1155,17,111,871207
Census Tract 8712.08; McHenry County; Illinois,110,108,3878,3632,0,135,338,10,113250,1381,1291,3557,2544,35,1148,17,111,871208
Census Tract 8712.09; McHenry County; Illinois,231,72,3516,2574,0,261,968,338,62822,1535,638,2729,2264,124,674,17,111,871209
Census Tract 8713.01; McHenry County; Illinois,100,100,4819,4432,0,70,481,347,98125,1916,1340,4177,3211,170,1435,17,111,871301
Census Tract 8713.04; McHenry County; Illinois,48,118,3698,3068,30,38,557,470,84038,1358,1230,3515,2574,30,963,17,111,871304
Census Tract 8713.05; McHenry County; Illinois,169,156,5950,5302,26,8,676,91,142824,1891,1722,5224,3958,131,2047,17,111,871305
Census Tract 8713.07; McHenry County; Illinois,198,114,5204,4720,9,162,686,269,114792,1852,1462,4673,3405,63,1351,17,111,871307
Census Tract 8713.10; McHenry County; Illinois,53,114,4513,3884,50,98,454,131,128314,1648,1524,4121,3149,156,1158,17,111,871310
Census Tract 8713.11; McHenry County; Illinois,58,35,4862,3708,274,422,702,276,100339,1908,1452,4282,3454,253,1079,17,111,871311
Census Tract 8713.12; McHenry County; Illinois,115,50,5615,4947,0,96,334,333,104708,2061,1996,5036,3869,72,1730,17,111,871312
Census Tract 8713.13; McHenry County; Illinois,51,111,2088,1635,5,152,525,438,84228,782,616,2052,1376,219,321,17,111,871313
Census Tract 8714.02; McHenry County; Illinois,97,134,5641,4962,0,182,812,102,119865,2172,1835,4774,4179,34,1943,17,111,871402
Census Tract 8714.04; McHenry County; Illinois,84,59,4425,3739,191,43,697,155,113171,1616,1346,3942,3153,202,1276,17,111,871404
Census Tract 8715.01; McHenry County; Illinois,77,203,6422,5689,379,67,173,327,76556,3466,3409,6059,5427,120,1740,17,111,871501
Census Tract 8715.02; McHenry County; Illinois,479,387,8777,6904,399,503,794,120,114394,2859,2579,7848,5645,253,2331,17,111,871502
Census Tract 8716; McHenry County; Illinois,142,102,5141,4992,16,24,567,116,102979,2118,1741,4822,3845,228,1510,17,111,871600
Census Tract 1.05; McLean County; Illinois,68,100,3868,3357,203,85,134,135,97071,1714,1340,3397,2664,79,1438,17,113,000105
Census Tract 1.06; McLean County; Illinois,15,4,3363,3100,29,83,201,1979,29458,1471,343,1895,936,0,332,17,113,000106
Census Tract 1.07; McLean County; Illinois,186,205,4491,3751,317,53,245,1002,71818,1532,950,3043,2245,115,1285,17,113,000107
Census Tract 1.08; McLean County; Illinois,105,432,5574,3508,1659,172,244,2328,28645,2020,552,3595,2078,44,887,17,113,000108
Census Tract 1.09; McLean County; Illinois,241,236,5647,4389,558,298,324,195,108021,2017,1864,5245,3593,38,2352,17,113,000109
Census Tract 2; McLean County; Illinois,0,0,5047,3917,732,145,510,636,7932,281,0,2578,92,0,33,17,113,000200
Census Tract 3.01; McLean County; Illinois,60,37,4271,3418,500,95,527,1484,35305,1798,671,3095,1604,34,754,17,113,000301
Census Tract 3.02; McLean County; Illinois,118,188,5411,4277,953,28,224,762,74302,2466,1368,4453,4061,72,1866,17,113,000302
Census Tract 4; McLean County; Illinois,0,11,3061,2427,327,183,138,1257,34875,1113,324,2198,1209,53,669,17,113,000400
Census Tract 5.01; McLean County; Illinois,16,69,2759,2017,601,22,75,994,34688,1363,472,2200,1468,26,655,17,113,000501
Census Tract 5.02; McLean County; Illinois,24,59,2528,2368,98,0,164,96,92344,1098,1036,2415,1999,121,1006,17,113,000502
Census Tract 5.04; McLean County; Illinois,115,8,4450,3291,870,205,269,315,66711,2232,1232,3635,3468,24,1896,17,113,000504
Census Tract 5.06; McLean County; Illinois,147,155,3614,3014,97,340,115,29,151558,1187,1165,3352,2274,19,1698,17,113,000506
Census Tract 5.07; McLean County; Illinois,19,45,2838,1885,124,620,195,10,156917,955,809,2440,1752,94,1246,17,113,000507
Census Tract 11.03; McLean County; Illinois,101,13,2872,2169,205,152,264,172,78125,1392,816,2380,2016,91,804,17,113,001103
Census Tract 11.05; McLean County; Illinois,259,106,5155,3583,630,759,163,277,92606,2265,1229,4512,3394,31,1898,17,113,001105
Census Tract 11.06; McLean County; Illinois,6,100,2953,2096,560,35,256,516,56027,1336,635,2462,1789,67,702,17,113,001106
Census Tract 11.07; McLean County; Illinois,131,92,3843,3345,138,83,344,224,107740,1482,1134,3619,2652,56,1380,17,113,001107
Census Tract 11.08; McLean County; Illinois,164,279,5006,3761,239,815,24,162,93929,2090,1274,3940,3354,136,2336,17,113,001108
Census Tract 12; McLean County; Illinois,123,50,2282,1681,394,81,56,464,58103,1191,596,2037,1649,63,736,17,113,001200
Census Tract 13.01; McLean County; Illinois,63,15,2039,1648,205,31,193,322,59583,870,581,1628,1322,82,520,17,113,001301
Census Tract 13.02; McLean County; Illinois,34,25,2264,1874,249,98,150,402,32708,473,89,1142,489,70,196,17,113,001302
Census Tract 13.03; McLean County; Illinois,30,58,1899,1603,136,0,194,626,41818,800,375,1452,980,25,274,17,113,001303
Census Tract 14.02; McLean County; Illinois,91,127,3304,2688,334,55,47,304,106250,1258,978,2910,2120,59,1066,17,113,001402
Census Tract 14.03; McLean County; Illinois,179,133,4305,3089,446,178,399,628,84875,1689,1249,3697,2856,141,891,17,113,001403
Census Tract 14.04; McLean County; Illinois,226,109,4381,3658,285,10,463,402,61444,1635,1417,4023,2779,186,557,17,113,001404
Census Tract 15; McLean County; Illinois,70,86,2396,1265,704,33,350,481,41938,983,428,2022,1578,263,219,17,113,001500
Census Tract 16; McLean County; Illinois,49,27,2435,1734,506,96,175,747,29534,1557,416,2000,1961,280,537,17,113,001600
Census Tract 17; McLean County; Illinois,50,57,2182,1457,409,67,205,537,46554,1138,466,1793,1453,118,547,17,113,001700
Census Tract 18; McLean County; Illinois,63,177,3365,2814,67,151,28,170,90313,1467,1155,2770,2334,39,1601,17,113,001800
Census Tract 21.01; McLean County; Illinois,119,37,4635,3830,361,0,718,519,52038,2317,1551,4251,3246,242,790,17,113,002101
Census Tract 21.02; McLean County; Illinois,7,7,1684,1502,49,0,76,175,62813,753,684,1607,1262,75,806,17,113,002102
Census Tract 51.02; McLean County; Illinois,274,215,7353,7025,115,136,96,349,98480,2792,2428,6852,5004,176,1987,17,113,005102
Census Tract 51.03; McLean County; Illinois,391,122,5362,4173,196,892,90,20,183846,1642,1642,4823,3205,31,2434,17,113,005103
Census Tract 51.04; McLean County; Illinois,118,270,4974,2607,210,1957,127,253,98344,2080,1051,4195,3371,237,2107,17,113,005104
Census Tract 52.01; McLean County; Illinois,29,41,956,914,5,0,8,65,105104,389,367,876,727,23,351,17,113,005201
Census Tract 52.02; McLean County; Illinois,90,131,3036,2766,34,15,17,107,82548,1111,990,2880,2120,70,652,17,113,005202
Census Tract 54.01; McLean County; Illinois,170,167,6844,6214,119,201,305,405,148426,2300,2060,6261,4359,68,2417,17,113,005401
Census Tract 54.02; McLean County; Illinois,56,100,3617,3472,0,22,165,243,99180,1295,1130,3379,2344,60,963,17,113,005402
Census Tract 55.01; McLean County; Illinois,120,36,2314,2266,17,0,0,206,83678,927,767,2030,1637,29,467,17,113,005501
Census Tract 55.02; McLean County; Illinois,35,24,2413,2382,0,0,0,213,97941,960,851,2166,1637,47,621,17,113,005502
Census Tract 56.01; McLean County; Illinois,61,93,1896,1820,0,0,119,178,67619,674,510,1713,1184,42,256,17,113,005601
Census Tract 56.02; McLean County; Illinois,38,73,2314,2079,89,0,96,424,69643,818,693,2101,1499,156,253,17,113,005602
Census Tract 57; McLean County; Illinois,221,158,4998,4874,20,19,123,430,81563,1918,1517,4651,3248,142,1106,17,113,005700
Census Tract 58; McLean County; Illinois,68,43,4015,3439,315,198,52,369,61875,2269,1216,3193,3200,71,1469,17,113,005800
Census Tract 59; McLean County; Illinois,124,90,3797,2792,426,249,315,1111,48750,2087,1031,3576,2869,390,732,17,113,005900
Census Tract 60; McLean County; Illinois,116,80,3473,3321,11,22,120,300,94500,1286,1060,3210,2358,59,692,17,113,006000
Census Tract 2; Macon County; Illinois,116,61,2595,1464,826,0,7,750,36719,856,369,2027,1273,367,39,17,115,000200
Census Tract 3; Macon County; Illinois,84,309,3308,1133,1548,50,77,789,41057,1296,689,3065,2050,182,83,17,115,000300
Census Tract 4; Macon County; Illinois,21,150,1187,442,674,0,0,304,41375,424,305,1058,628,61,170,17,115,000400
Census Tract 5.01; Macon County; Illinois,56,4,691,217,439,0,0,359,15111,502,95,612,554,85,55,17,115,000501
Census Tract 5.02; Macon County; Illinois,93,31,2354,1509,640,35,52,685,46044,1040,346,1831,1378,97,183,17,115,000502
Census Tract 6; Macon County; Illinois,3,44,1639,527,1092,0,20,933,15160,703,270,1298,1061,113,64,17,115,000600
Census Tract 9; Macon County; Illinois,159,55,1596,508,1005,0,16,550,37326,633,209,1356,1038,192,51,17,115,000900
Census Tract 10; Macon County; Illinois,9,10,1116,740,112,22,72,286,49464,541,375,1016,782,60,26,17,115,001000
Census Tract 11; Macon County; Illinois,3,12,3403,2732,292,63,265,459,53233,1646,1301,2936,2593,163,492,17,115,001100
Census Tract 12; Macon County; Illinois,123,34,2889,1884,869,0,79,542,54816,1137,755,2550,1859,98,311,17,115,001200
Census Tract 13; Macon County; Illinois,11,63,2304,1924,250,25,62,72,82269,1006,915,1962,1743,82,589,17,115,001300
Census Tract 14; Macon County; Illinois,124,168,2716,2191,373,123,92,429,56250,1067,604,2252,1781,39,553,17,115,001400
Census Tract 15; Macon County; Illinois,110,221,3978,3210,534,0,42,442,67116,1769,1428,3365,2976,97,1164,17,115,001500
Census Tract 16; Macon County; Illinois,113,136,2478,1588,644,67,67,628,49258,667,487,1786,930,62,336,17,115,001600
Census Tract 17; Macon County; Illinois,57,73,1990,1305,507,6,120,463,63125,754,580,1736,1426,86,337,17,115,001700
Census Tract 18.01; Macon County; Illinois,60,60,2024,1621,278,0,39,131,70417,866,746,1907,1583,91,537,17,115,001801
Census Tract 18.02; Macon County; Illinois,7,23,1798,1606,123,18,22,223,37552,892,566,1536,1342,171,96,17,115,001802
Census Tract 19; Macon County; Illinois,113,107,2534,1438,807,8,17,505,35145,1207,424,2174,1525,205,176,17,115,001900
Census Tract 20.01; Macon County; Illinois,0,0,1092,710,184,139,52,289,27744,680,93,654,963,82,229,17,115,002001
Census Tract 20.02; Macon County; Illinois,81,71,2334,1238,928,0,206,513,45231,980,590,2018,1508,175,339,17,115,002002
Census Tract 21; Macon County; Illinois,87,48,1192,811,214,0,54,570,28125,603,330,762,869,80,38,17,115,002100
Census Tract 22; Macon County; Illinois,152,252,4923,4422,321,24,44,720,54286,2184,1800,4676,3691,316,780,17,115,002200
Census Tract 23; Macon County; Illinois,111,32,2967,2895,20,0,5,295,87951,1103,1027,2712,2100,134,435,17,115,002300
Census Tract 24.01; Macon County; Illinois,98,43,2714,2272,308,16,77,219,90089,1069,969,2390,1876,153,551,17,115,002401
Census Tract 24.02; Macon County; Illinois,223,90,4855,4588,190,36,47,296,80917,2223,1723,4174,3739,262,960,17,115,002402
Census Tract 25; Macon County; Illinois,298,34,7165,6616,306,150,64,659,97783,2689,2247,6598,4783,115,1439,17,115,002500
Census Tract 26.01; Macon County; Illinois,62,22,3891,3687,118,26,28,219,85833,1762,1639,3674,3019,182,855,17,115,002601
Census Tract 26.02; Macon County; Illinois,15,129,1870,1804,17,0,11,74,75658,756,633,1610,1354,79,277,17,115,002602
Census Tract 27; Macon County; Illinois,80,71,2150,2011,24,7,59,101,73000,934,776,1983,1488,121,433,17,115,002700
Census Tract 28; Macon County; Illinois,145,126,4239,3991,0,15,119,259,79539,1583,1351,3943,2824,163,582,17,115,002800
Census Tract 29.01; Macon County; Illinois,198,176,4528,4044,86,201,90,402,107661,1692,1490,4025,3038,60,1688,17,115,002901
Census Tract 29.02; Macon County; Illinois,88,85,4423,3731,551,122,0,277,70321,1952,1390,3690,3408,132,722,17,115,002902
Census Tract 29.04; Macon County; Illinois,16,105,4868,3566,1076,0,69,288,67596,2229,1596,4212,3560,134,1066,17,115,002904
Census Tract 29.05; Macon County; Illinois,94,71,1798,1416,266,22,70,104,57589,555,207,854,1035,191,98,17,115,002905
Census Tract 29.06; Macon County; Illinois,113,0,2504,1468,643,131,402,984,33143,1417,352,1955,1906,329,556,17,115,002906
Census Tract 30; Macon County; Illinois,43,124,3607,2987,109,81,124,213,79719,1365,1102,3032,2394,113,659,17,115,003000
Census Tract 31; Macon County; Illinois,102,0,1822,426,1260,13,44,478,25000,580,111,1110,1226,364,55,17,115,003100
Census Tract 9560; Macoupin County; Illinois,50,80,3063,3054,0,0,0,394,64750,1184,841,2841,2151,146,249,17,117,956000
Census Tract 9561; Macoupin County; Illinois,122,62,2950,2831,0,19,31,427,62708,1121,846,2493,2134,197,319,17,117,956100
Census Tract 9562; Macoupin County; Illinois,50,62,2560,2495,0,0,5,351,56504,983,785,2352,1850,203,348,17,117,956200
Census Tract 9563; Macoupin County; Illinois,99,39,2877,2753,46,30,48,129,91971,1015,911,2571,1887,129,648,17,117,956300
Census Tract 9564; Macoupin County; Illinois,131,123,5323,4736,143,0,222,1443,53701,2212,1437,4459,3918,687,957,17,117,956400
Census Tract 9565; Macoupin County; Illinois,76,68,2447,2438,0,0,27,284,93315,971,901,2295,1826,122,500,17,117,956500
Census Tract 9566; Macoupin County; Illinois,119,171,4708,4566,10,0,52,482,74353,1707,1448,4397,3230,197,663,17,117,956600
Census Tract 9567; Macoupin County; Illinois,160,106,3844,3450,223,23,134,377,76576,1403,1133,3202,2703,290,364,17,117,956700
Census Tract 9568; Macoupin County; Illinois,18,16,2493,2420,0,0,0,164,68750,957,802,2345,1823,151,393,17,117,956800
Census Tract 9569; Macoupin County; Illinois,183,129,3562,3436,0,0,26,557,60052,1499,1037,3214,2512,282,455,17,117,956900
Census Tract 9570; Macoupin County; Illinois,50,54,3576,3421,40,22,13,511,55881,1425,1140,3228,2628,227,346,17,117,957000
Census Tract 9571; Macoupin County; Illinois,58,42,2887,2802,9,59,10,305,55172,1188,906,2600,2076,143,424,17,117,957100
Census Tract 9572; Macoupin County; Illinois,84,89,4617,4413,13,53,14,1029,58468,1902,1473,4191,3314,119,522,17,117,957200
Census Tract 4001.01; Madison County; Illinois,72,23,2707,2462,138,12,99,497,67567,1159,875,2140,1956,104,292,17,119,400101
Census Tract 4001.02; Madison County; Illinois,42,224,4661,3017,1116,28,94,1372,52668,1832,965,4171,2881,435,440,17,119,400102
Census Tract 4002; Madison County; Illinois,76,101,3533,2452,674,8,457,988,36395,1456,874,3109,2545,581,202,17,119,400200
Census Tract 4006; Madison County; Illinois,23,38,2058,859,1118,0,8,321,42083,963,482,1889,1531,190,214,17,119,400600
Census Tract 4007; Madison County; Illinois,37,40,1762,40,1577,0,36,672,34414,781,368,1417,1372,203,137,17,119,400700
Census Tract 4008.01; Madison County; Illinois,46,20,1683,1502,55,0,156,236,65357,730,618,1569,1198,60,209,17,119,400801
Census Tract 4008.02; Madison County; Illinois,112,149,6107,5337,517,0,429,769,57156,2668,2141,5349,4518,297,524,17,119,400802
Census Tract 4009.03; Madison County; Illinois,174,297,4388,3394,491,0,944,886,50688,1904,1241,4049,3016,386,310,17,119,400903
Census Tract 4009.04; Madison County; Illinois,38,113,3495,3247,0,4,287,236,51354,1452,1269,3320,2545,175,422,17,119,400904
Census Tract 4009.51; Madison County; Illinois,175,105,5439,4899,104,103,152,438,77582,2069,1381,5191,3841,458,562,17,119,400951
Census Tract 4009.52; Madison County; Illinois,232,129,3492,2606,321,290,257,271,65880,1275,959,3151,2237,319,436,17,119,400952
Census Tract 4010; Madison County; Illinois,87,77,2272,2145,91,13,12,402,52841,1005,694,1820,1592,55,310,17,119,401000
Census Tract 4011.01; Madison County; Illinois,84,140,2707,2236,199,0,104,814,49792,1148,723,2201,1767,141,216,17,119,401101
Census Tract 4011.02; Madison County; Illinois,127,37,3274,2932,252,0,24,540,69665,1425,1167,2956,2236,105,309,17,119,401102
Census Tract 4012; Madison County; Illinois,8,100,2028,1848,71,2,6,211,66250,866,592,1697,1420,85,190,17,119,401200
Census Tract 4013; Madison County; Illinois,94,255,4576,4187,125,0,98,829,44039,2245,1333,3715,3362,494,393,17,119,401300
Census Tract 4014; Madison County; Illinois,20,84,2996,2512,305,7,55,522,54044,1297,942,2582,2128,178,319,17,119,401400
Census Tract 4015; Madison County; Illinois,0,29,2618,2028,342,41,78,671,51786,1100,628,2397,1767,313,180,17,119,401500
Census Tract 4017.01; Madison County; Illinois,75,167,2540,2122,213,18,88,801,42670,911,507,2057,1513,241,107,17,119,401701
Census Tract 4017.21; Madison County; Illinois,154,112,5601,5406,21,10,0,650,66725,2209,1926,5044,3814,257,966,17,119,401721
Census Tract 4017.22; Madison County; Illinois,114,105,2856,2793,0,0,55,121,75911,1247,953,2502,2061,161,503,17,119,401722
Census Tract 4018; Madison County; Illinois,147,123,6218,5791,271,0,197,509,81198,2496,2251,5589,4491,175,1028,17,119,401800
Census Tract 4019.01; Madison County; Illinois,38,11,1703,1658,0,0,8,126,73359,750,604,1621,1295,8,386,17,119,401901
Census Tract 4019.05; Madison County; Illinois,123,102,4738,4326,71,6,227,594,59984,1933,1534,4344,3327,328,322,17,119,401905
Census Tract 4020; Madison County; Illinois,95,100,4377,2999,982,146,101,878,47154,1970,1216,3623,3159,316,772,17,119,402000
Census Tract 4021; Madison County; Illinois,73,61,2318,1111,1139,0,27,752,39432,1093,728,2052,1785,335,276,17,119,402100
Census Tract 4022; Madison County; Illinois,239,82,3450,2134,856,0,116,676,58567,1364,862,3004,2421,199,558,17,119,402200
Census Tract 4023; Madison County; Illinois,89,19,1709,1415,173,0,50,220,70763,736,478,1427,1228,28,449,17,119,402300
Census Tract 4024; Madison County; Illinois,73,10,1628,1376,212,4,25,375,46360,777,373,1231,1260,148,334,17,119,402400
Census Tract 4025; Madison County; Illinois,108,91,1871,874,902,18,17,542,45833,704,393,1306,1171,182,364,17,119,402500
Census Tract 4026; Madison County; Illinois,51,72,2762,1729,665,1,106,576,47756,1068,436,2415,1744,110,223,17,119,402600
Census Tract 4027.01; Madison County; Illinois,37,164,6761,5454,917,4,38,1114,79131,3080,2156,6061,5225,235,1241,17,119,402701
Census Tract 4027.21; Madison County; Illinois,355,62,7958,7223,282,4,187,434,78526,3282,2717,7111,5882,121,2066,17,119,402721
Census Tract 4027.22; Madison County; Illinois,104,41,2961,2717,133,16,62,173,110208,1144,1046,2558,2229,190,847,17,119,402722
Census Tract 4028.01; Madison County; Illinois,42,44,3541,3333,69,0,31,292,96987,1544,1435,3292,2849,112,810,17,119,402801
Census Tract 4028.03; Madison County; Illinois,188,89,3464,3012,225,71,0,286,84320,1179,933,2999,2161,152,705,17,119,402803
Census Tract 4028.04; Madison County; Illinois,45,10,2343,2290,0,32,0,111,81569,913,837,2097,1775,189,529,17,119,402804
Census Tract 4028.05; Madison County; Illinois,104,142,5513,5263,50,0,308,329,94762,2072,1757,5141,4047,177,1080,17,119,402805
Census Tract 4029; Madison County; Illinois,65,72,5408,4664,359,118,96,1399,75250,2266,1350,4308,2892,64,1674,17,119,402900
Census Tract 4030.01; Madison County; Illinois,224,202,6334,5583,336,80,243,728,71061,2518,1410,4226,4189,225,1755,17,119,403001
Census Tract 4030.02; Madison County; Illinois,223,332,6814,5844,597,108,94,281,109977,2649,2191,5682,4652,98,2913,17,119,403002
Census Tract 4031.01; Madison County; Illinois,35,79,6140,5307,442,166,315,948,64063,1637,891,3818,2157,34,970,17,119,403101
Census Tract 4031.21; Madison County; Illinois,391,218,9557,8407,327,133,572,707,96662,3823,2873,8909,6495,248,3388,17,119,403121
Census Tract 4031.22; Madison County; Illinois,136,114,6108,4927,851,175,61,355,101369,2361,1479,5327,3597,137,2157,17,119,403122
Census Tract 4032; Madison County; Illinois,108,136,4968,3967,741,1,105,1272,53250,2288,1504,4343,3431,273,657,17,119,403200
Census Tract 4033; Madison County; Illinois,23,69,2495,1971,258,0,232,344,63411,1183,577,2123,1845,130,316,17,119,403300
Census Tract 4034.01; Madison County; Illinois,154,192,4295,2586,1327,76,313,288,69507,1766,898,3642,3071,176,872,17,119,403401
Census Tract 4034.03; Madison County; Illinois,28,10,2687,1910,555,52,283,429,56583,1377,831,2325,2071,106,657,17,119,403403
Census Tract 4034.04; Madison County; Illinois,72,40,2939,2149,590,29,133,253,59967,1359,899,2571,2167,44,607,17,119,403404
Census Tract 4035.02; Madison County; Illinois,180,100,5327,4644,113,0,504,382,66372,2381,1882,4924,4083,191,1440,17,119,403502
Census Tract 4035.31; Madison County; Illinois,431,213,7690,7284,82,34,278,306,80578,3191,2444,6775,5285,179,2171,17,119,403531
Census Tract 4035.32; Madison County; Illinois,144,179,5927,5786,34,8,139,173,126493,1936,1829,5277,3856,126,1688,17,119,403532
Census Tract 4035.33; Madison County; Illinois,303,430,10799,9261,665,211,258,633,95404,4315,3550,9176,7802,205,3322,17,119,403533
Census Tract 4035.34; Madison County; Illinois,121,14,4241,3767,45,55,408,258,90429,1765,1402,3840,3181,232,1373,17,119,403534
Census Tract 4036.01; Madison County; Illinois,94,142,3828,3658,28,33,74,138,78500,1712,1218,3332,2932,114,1002,17,119,403601
Census Tract 4036.03; Madison County; Illinois,39,70,1859,1591,0,87,54,86,90100,796,686,1723,1329,20,588,17,119,403603
Census Tract 4036.04; Madison County; Illinois,161,25,6467,6129,9,256,26,187,76033,3050,2111,5533,4908,244,1233,17,119,403604
Census Tract 4037.01; Madison County; Illinois,128,175,6862,6592,3,34,178,188,126528,2312,2170,6406,4665,133,2102,17,119,403701
Census Tract 4037.02; Madison County; Illinois,307,180,5868,5558,0,44,66,101,125568,2076,1965,5216,3918,119,1563,17,119,403702
Census Tract 4038.01; Madison County; Illinois,112,140,5225,5121,32,5,6,205,102321,1954,1823,4816,3585,190,1267,17,119,403801
Census Tract 4038.02; Madison County; Illinois,132,90,4240,3943,0,3,38,262,72938,1822,1527,3876,3156,306,636,17,119,403802
Census Tract 4040; Madison County; Illinois,7,32,2356,1609,621,1,151,697,55653,1083,616,1911,1902,268,329,17,119,404000
Census Tract 4041; Madison County; Illinois,50,77,2970,2719,51,0,163,391,54611,1447,1147,2468,2156,193,302,17,119,404100
Census Tract 9516; Marion County; Illinois,50,87,3334,3264,0,6,24,331,62121,1502,1319,3140,2395,219,310,17,121,951600
Census Tract 9517; Marion County; Illinois,31,55,2598,2562,0,7,39,187,81131,1011,942,2385,1826,134,501,17,121,951700
Census Tract 9518; Marion County; Illinois,46,57,2153,1972,23,11,83,505,47750,871,699,1872,1603,343,122,17,121,951800
Census Tract 9519; Marion County; Illinois,132,72,2881,2757,41,11,29,307,60150,1129,815,2476,2061,216,236,17,121,951900
Census Tract 9520; Marion County; Illinois,141,97,4394,4067,168,41,7,707,61721,1764,1262,3760,3025,227,487,17,121,952000
Census Tract 9521; Marion County; Illinois,134,164,3146,2973,76,0,22,765,45756,1356,666,2435,2140,161,265,17,121,952100
Census Tract 9522; Marion County; Illinois,179,183,4099,3969,8,7,45,356,71146,1496,1344,3570,2725,166,501,17,121,952200
Census Tract 9523; Marion County; Illinois,106,61,3300,3152,74,0,27,304,68508,1339,1159,2935,2477,213,579,17,121,952300
Census Tract 9524; Marion County; Illinois,115,53,3946,3149,460,94,232,173,71724,1693,1354,3339,2833,190,731,17,121,952400
Census Tract 9525; Marion County; Illinois,128,129,2551,2336,26,29,216,716,40104,980,569,1992,1558,189,175,17,121,952500
Census Tract 9526; Marion County; Illinois,31,63,1957,1543,161,16,28,480,39158,825,426,1626,1223,125,195,17,121,952600
Census Tract 9527; Marion County; Illinois,141,114,3184,2476,591,32,89,1326,36786,1270,689,2755,2122,423,240,17,121,952700
Census Tract 9611; Marshall County; Illinois,59,68,2728,2507,6,0,76,307,64750,1129,882,2409,1920,215,369,17,123,961100
Census Tract 9612; Marshall County; Illinois,80,105,2493,2401,8,5,9,349,55750,1071,788,2195,1762,143,332,17,123,961200
Census Tract 9613; Marshall County; Illinois,44,37,2044,1994,0,0,34,142,72250,907,752,1838,1547,106,333,17,123,961300
Census Tract 9614; Marshall County; Illinois,48,98,2664,2571,41,16,46,339,70600,1060,847,2497,1954,91,301,17,123,961400
Census Tract 9615; Marshall County; Illinois,80,19,1811,1606,12,0,194,253,61875,800,639,1638,1352,126,153,17,123,961500
Census Tract 9563; Mason County; Illinois,76,95,2580,2519,18,5,80,322,65114,1143,924,2308,1896,181,301,17,125,956300
Census Tract 9564; Mason County; Illinois,24,37,1751,1656,0,15,30,126,70402,759,679,1633,1295,174,223,17,125,956400
Census Tract 9565; Mason County; Illinois,110,40,3242,3146,17,0,20,628,52917,1451,1045,2762,2349,167,412,17,125,956500
Census Tract 9566; Mason County; Illinois,41,45,1498,1473,0,0,3,93,52457,679,592,1424,1091,48,150,17,125,956600
Census Tract 9567; Mason County; Illinois,35,27,1665,1590,1,20,11,172,63906,706,600,1519,1168,66,249,17,125,956700
Census Tract 9568; Mason County; Illinois,24,91,2338,2225,29,0,34,426,61583,1050,816,2144,1657,184,303,17,125,956800
Census Tract 9701; Massac County; Illinois,201,118,4644,4203,316,0,104,723,69902,1652,1447,4353,3179,213,386,17,127,970100
Census Tract 9702; Massac County; Illinois,28,72,3679,3201,270,0,228,412,48750,1501,1041,3234,2709,541,329,17,127,970200
Census Tract 9703; Massac County; Illinois,78,68,3519,3002,272,16,122,515,67250,1272,1129,3185,2613,222,524,17,127,970300
Census Tract 9704; Massac County; Illinois,80,86,2293,2078,76,40,0,251,45089,988,610,1895,1614,272,251,17,127,970400
Census Tract 101; Menard County; Illinois,137,180,5946,5646,101,18,113,414,91172,2354,1924,5543,3997,145,987,17,129,010100
Census Tract 102; Menard County; Illinois,139,114,4080,3878,15,29,47,423,79565,1706,1214,3568,2903,230,910,17,129,010200
Census Tract 103; Menard County; Illinois,31,19,2258,2253,0,0,4,127,82539,1025,912,2148,1763,57,344,17,129,010300
Census Tract 401; Mercer County; Illinois,128,59,4559,4427,9,0,172,380,78534,1764,1555,4277,3263,216,626,17,131,040100
Census Tract 402; Mercer County; Illinois,89,121,3358,3245,0,12,23,299,61364,1380,1157,3166,2289,244,300,17,131,040200
